,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Season,MASCOT,URL
0,Utah Jazz,72,52,20,0.722,48.2,116.4,41.3,88.1,46.8,16.7,43.0,38.9,17.2,21.5,79.9,10.6,37.6,48.3,23.7,14.2,6.6,5.2,3.9,18.5,19.0,9.3,2021,jazz,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/jazz.png
1,Phoenix Suns,72,51,21,0.708,48.6,115.3,43.3,88.3,49.0,13.1,34.6,37.8,15.6,18.7,83.4,8.8,34.2,42.9,26.9,12.5,7.2,4.3,3.6,19.1,18.0,5.8,2021,suns,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/suns.png
2,Philadelphia 76ers,72,49,23,0.6809999999999999,48.4,113.6,41.4,86.9,47.6,11.3,30.1,37.4,19.6,25.5,76.7,10.0,35.0,45.1,23.7,14.4,9.1,6.2,4.7,20.2,21.0,5.6,2021,76ers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/76ers.png
3,Brooklyn Nets,72,48,24,0.667,48.3,118.6,43.1,87.3,49.4,14.2,36.1,39.2,18.1,22.5,80.4,8.9,35.5,44.4,26.8,13.5,6.7,5.3,4.6,19.0,18.9,4.5,2021,nets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nets.png
4,Denver Nuggets,72,47,25,0.653,48.6,115.1,43.3,89.2,48.5,12.9,34.2,37.7,15.7,19.5,80.3,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,4.9,2021,nuggets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nuggets.png
5,LA Clippers,72,47,25,0.653,48.0,114.0,41.8,86.7,48.2,14.3,34.7,41.1,16.2,19.3,83.9,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,6.2,2021,clippers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/clippers.png
6,Milwaukee Bucks,72,46,26,0.639,48.1,120.1,44.7,91.8,48.7,14.4,37.1,38.9,16.2,21.4,76.0,10.3,37.8,48.1,25.5,13.8,8.1,4.6,4.8,17.3,18.3,5.9,2021,bucks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bucks.png
7,Dallas Mavericks,72,42,30,0.583,48.1,112.4,41.1,87.3,47.0,13.8,38.1,36.2,16.5,21.2,77.8,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,2.3,2021,mavericks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/mavericks.png
8,Los Angeles Lakers,72,42,30,0.583,48.5,109.5,40.6,86.1,47.2,11.1,31.2,35.4,17.2,23.3,73.9,9.7,34.6,44.2,24.7,15.2,7.8,5.4,4.5,19.1,21.3,2.8,2021,lakers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/lakers.png
9,Portland Trail Blazers,72,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5.0,4.6,18.9,19.1,1.8,2021,blazers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/blazers.png
10,Atlanta Hawks,72,41,31,0.569,48.3,113.7,40.8,87.2,46.8,12.4,33.4,37.3,19.7,24.2,81.2,10.6,35.1,45.6,24.1,13.2,7.0,4.8,5.0,19.3,19.8,2.3,2021,hawks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hawks.png
11,New York Knicks,72,41,31,0.569,48.4,107.0,39.4,86.5,45.6,11.8,30.0,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,12.9,7.0,5.1,5.4,20.5,17.9,2.3,2021,knicks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/knicks.png
12,Miami Heat,72,40,32,0.556,48.3,108.1,39.2,83.7,46.8,12.9,36.2,35.8,16.7,21.1,79.0,8.0,33.5,41.5,26.3,14.1,7.9,4.0,4.0,18.9,19.6,0.0,2021,heat,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/heat.png
13,Golden State Warriors,72,39,33,0.542,48.1,113.7,41.3,88.2,46.8,14.6,38.7,37.6,16.6,21.1,78.5,8.0,35.1,43.0,27.7,15.0,8.2,4.8,4.3,21.2,19.5,1.1,2021,warriors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/warriors.png
14,Memphis Grizzlies,72,38,34,0.528,48.3,113.3,42.8,91.8,46.7,11.2,31.4,35.6,16.4,21.3,77.1,11.2,35.3,46.5,26.9,13.3,9.1,5.1,5.2,18.7,18.3,1.0,2021,grizzlies,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/grizzlies.png
15,Boston Celtics,72,36,36,0.5,48.3,112.6,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,1.5,2021,celtics,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/celtics.png
16,Indiana Pacers,72,34,38,0.47200000000000003,48.5,115.3,43.3,91.2,47.4,12.3,34.0,36.4,16.4,20.7,79.2,9.0,33.7,42.7,27.4,13.5,8.5,6.4,5.3,20.2,18.1,0.0,2021,pacers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pacers.png
17,Washington Wizards,72,34,38,0.47200000000000003,48.3,116.6,43.2,90.9,47.5,10.2,29.0,35.1,20.1,26.2,76.9,9.7,35.5,45.2,25.5,14.4,7.3,4.1,4.8,21.6,22.0,-1.8,2021,wizards,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/wizards.png
18,Charlotte Hornets,72,33,39,0.45799999999999996,48.2,109.5,39.9,87.8,45.5,13.7,37.0,36.9,15.9,20.9,76.1,10.6,33.2,43.8,26.8,14.8,7.8,4.8,4.8,18.0,18.6,-1.9,2021,hornets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hornets.png
19,San Antonio Spurs,72,33,39,0.45799999999999996,48.6,111.1,41.9,90.5,46.2,9.9,28.4,35.0,17.4,22.0,79.2,9.3,34.6,43.9,24.4,11.4,7.0,5.1,5.1,18.0,18.6,-1.7,2021,spurs,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/spurs.png
20,Chicago Bulls,72,31,41,0.431,48.3,110.7,42.2,88.6,47.6,12.6,34.0,37.0,13.8,17.5,79.1,9.6,35.3,45.0,26.8,15.1,6.7,4.2,5.1,18.9,17.7,-0.9,2021,bulls,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bulls.png
21,New Orleans Pelicans,72,31,41,0.431,48.4,114.6,42.5,89.1,47.7,10.6,30.4,34.8,19.0,26.1,72.9,11.7,35.7,47.4,26.0,14.6,7.6,4.4,5.9,18.0,21.3,-0.3,2021,pelicans,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pelicans.png
22,Sacramento Kings,72,31,41,0.431,48.1,113.7,42.6,88.6,48.1,12.1,33.3,36.4,16.4,22.0,74.5,9.4,32.0,41.4,25.5,13.4,7.5,5.0,4.7,19.4,18.7,-3.7,2021,kings,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/kings.png
23,Toronto Raptors,72,27,45,0.375,48.1,111.3,39.7,88.7,44.8,14.5,39.3,36.8,17.4,21.3,81.5,9.4,32.1,41.6,24.1,13.2,8.6,5.4,5.6,21.2,19.5,-0.5,2021,raptors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/raptors.png
24,Minnesota Timberwolves,72,23,49,0.319,48.3,112.1,40.7,90.9,44.8,13.1,37.6,34.9,17.6,23.1,76.1,10.5,33.0,43.5,25.6,14.3,8.8,5.5,5.5,20.9,19.9,-5.6,2021,timberwolves,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/timberwolves.png
25,Cleveland Cavaliers,72,22,50,0.306,48.4,103.8,38.6,85.8,45.0,10.0,29.7,33.6,16.7,22.4,74.3,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,-8.4,2021,cavaliers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/cavaliers.png
26,Oklahoma City Thunder,72,22,50,0.306,48.2,105.0,38.8,88.0,44.1,11.9,35.1,33.9,15.5,21.3,72.5,9.9,35.7,45.6,22.1,16.1,7.0,4.4,5.3,18.1,18.6,-10.6,2021,thunder,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/thunder.png
27,Orlando Magic,72,21,51,0.292,48.1,104.0,38.3,89.2,42.9,10.9,31.8,34.3,16.6,21.4,77.5,10.4,35.1,45.4,21.8,12.8,6.9,4.4,5.3,17.2,18.6,-9.3,2021,magic,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/magic.png
28,Detroit Pistons,72,20,52,0.278,48.4,106.6,38.7,85.6,45.2,11.6,32.9,35.1,17.8,23.4,75.9,9.6,33.1,42.7,24.2,14.9,7.4,5.2,5.8,20.5,20.4,-4.5,2021,pistons,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pistons.png
29,Houston Rockets,72,17,55,0.23600000000000002,48.1,108.8,39.3,88.5,44.4,13.8,40.6,33.9,16.5,22.3,74.0,9.3,33.3,42.6,23.6,14.7,7.6,5.0,5.3,19.5,19.3,-7.9,2021,rockets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/rockets.png
0,Phoenix Suns,82,64,18,0.78,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4.0,19.9,18.9,7.5,2022,suns,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/suns.png
1,Memphis Grizzlies,82,56,26,0.6829999999999999,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,5.7,2022,grizzlies,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/grizzlies.png
2,Golden State Warriors,82,53,29,0.6459999999999999,48.1,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,5.5,2022,warriors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/warriors.png
3,Miami Heat,82,53,29,0.6459999999999999,48.4,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,4.5,2022,heat,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/heat.png
4,Dallas Mavericks,82,52,30,0.634,48.2,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,3.3,2022,mavericks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/mavericks.png
5,Boston Celtics,82,51,31,0.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3,2022,celtics,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/celtics.png
6,Milwaukee Bucks,82,51,31,0.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,3.4,2022,bucks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bucks.png
7,Philadelphia 76ers,82,51,31,0.622,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6,2022,76ers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/76ers.png
8,Utah Jazz,82,49,33,0.598,48.1,113.6,40.6,86.2,47.1,14.5,40.3,36.0,17.9,23.4,76.7,10.8,35.6,46.3,22.4,14.0,7.2,4.9,4.3,18.9,20.3,6.0,2022,jazz,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/jazz.png
9,Denver Nuggets,82,48,34,0.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,2.3,2022,nuggets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nuggets.png
10,Toronto Raptors,82,48,34,0.585,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32.0,45.3,22.1,12.5,9.0,4.6,5.1,19.6,19.1,2.3,2022,raptors,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/raptors.png
11,Chicago Bulls,82,46,36,0.561,48.1,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,-0.4,2022,bulls,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/bulls.png
12,Minnesota Timberwolves,82,46,36,0.561,48.2,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,2.6,2022,timberwolves,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/timberwolves.png
13,Brooklyn Nets,82,44,38,0.537,48.2,112.9,42.0,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8,2022,nets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/nets.png
14,Cleveland Cavaliers,82,44,38,0.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76.0,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,2.1,2022,cavaliers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/cavaliers.png
15,Atlanta Hawks,82,43,39,0.524,48.1,113.9,41.5,88.3,47.0,12.9,34.4,37.4,18.1,22.3,81.2,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6,2022,hawks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hawks.png
16,Charlotte Hornets,82,43,39,0.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74.0,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4,2022,hornets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/hornets.png
17,LA Clippers,82,42,40,0.512,48.2,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44.0,24.0,13.7,7.4,5.0,4.1,18.6,18.5,0.0,2022,clippers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/clippers.png
18,New York Knicks,82,37,45,0.451,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18.0,24.1,74.4,11.5,34.6,46.1,21.9,13.3,7.0,4.9,4.6,20.4,20.4,-0.1,2022,knicks,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/knicks.png
19,New Orleans Pelicans,82,36,46,0.439,48.2,109.3,40.2,88.0,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12.0,33.2,45.2,25.0,14.1,8.3,4.0,4.8,19.7,20.5,-1.0,2022,pelicans,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pelicans.png
20,Washington Wizards,82,35,47,0.42700000000000005,48.4,108.6,40.6,86.0,47.2,10.5,30.6,34.2,17.0,21.7,78.3,9.0,34.1,43.1,25.0,13.1,6.4,5.0,4.2,18.8,19.9,-3.4,2022,wizards,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/wizards.png
21,San Antonio Spurs,82,34,48,0.415,48.3,113.2,43.2,92.7,46.7,11.3,32.0,35.2,15.4,20.4,75.4,11.0,34.3,45.3,27.9,12.7,7.6,4.9,4.9,18.1,18.9,0.1,2022,spurs,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/spurs.png
22,Los Angeles Lakers,82,33,49,0.402,48.7,112.1,41.6,88.8,46.9,12.0,34.5,34.7,16.8,23.0,73.2,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,-3.0,2022,lakers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/lakers.png
23,Sacramento Kings,82,30,52,0.366,48.3,110.3,40.5,88.1,46.0,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,14.1,7.2,4.5,4.8,18.9,20.3,-5.5,2022,kings,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/kings.png
24,Portland Trail Blazers,82,27,55,0.32899999999999996,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76.0,10.4,32.5,42.9,22.9,14.5,8.0,4.5,5.0,21.1,19.4,-8.9,2022,blazers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/blazers.png
25,Indiana Pacers,82,25,57,0.305,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5,2022,pacers,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pacers.png
26,Oklahoma City Thunder,82,24,58,0.293,48.3,103.7,38.3,89.1,43.0,12.1,37.4,32.3,15.0,19.9,75.6,10.4,35.2,45.6,22.2,14.0,7.6,4.6,6.0,18.3,17.8,-8.1,2022,thunder,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/thunder.png
27,Detroit Pistons,82,23,59,0.28,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22.0,78.2,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7,2022,pistons,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/pistons.png
28,Orlando Magic,82,22,60,0.268,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8.0,2022,magic,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/magic.png
29,Houston Rockets,82,20,62,0.244,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5,2022,rockets,https://raw.githubusercontent.com/jeremydumalig/Most-Improved-Player/main/logos/rockets.png
